Player,APM,Appearances,RAPM,year
Shawn Marion,0.561938659404905,10136,-0.3868449612857204,2014
Monta Ellis,0.5871901581627396,12724,-0.1026550983660308,2014
Brandan Wright,-1.359545097377134,4438,0.2408496256574745,2014
Vince Carter,2.807716006279646,8491,1.1721451535189562,2014
Devin Harris,5.051437618291884,3834,1.9311602546823063,2014
J.J. Barea,-0.8285536082692293,5812,-0.9986939844913943,2014
Wayne Ellington,-4.139222657837537,1644,-1.4290721755505107,2014
DeJuan Blair,-1.054261482657044,5175,-0.0340046475378696,2014
Dante Cunningham,2.100468197481515,6497,0.1147848072935474,2014
Jae Crowder,5.444029409575567,5250,2.6745956281919305,2014
Chase Budinger,0.3767752940090026,2928,0.0848662578561869,2014
Robbie Hummel,1.6941358583468458,2550,0.6427066586516784,2014
Kenneth Faried,-0.4886036385765491,8859,0.0369118745551442,2014
Randy Foye,2.323634418815822,10210,0.2330975844603147,2014
Wilson Chandler,-1.8506618085641224,7846,-1.1823023098368188,2014
JJ Hickson,-1.1395720840065382,7554,-0.8937499145177474,2014
Ty Lawson,5.394134826277861,9166,1.6861686033137324,2014
Greg Monroe,2.4712022758107457,10622,0.6907324870556949,2014
Kyle Singler,0.0889956082539921,9261,-0.6547055892978202,2014
Andre Drummond,0.6294177617157569,10291,-0.420958918278171,2014
Brandon Jennings,0.393404937955392,10867,0.0302573223008867,2014
Josh Smith,0.3266289371831628,10810,-0.0858198890121695,2014
Timofey Mozgov,1.0433564603417422,7242,0.8488595983503063,2014
Evan Fournier,2.9689695930071105,6212,0.9282043382365311,2014
Rodney Stuckey,0.6037671182092401,7645,-0.4704922090455507,2014
Quincy Miller,-0.9944454750367968,3291,-0.5938371023189738,2014
Darrell Arthur,1.3801111191837547,4755,1.125205728745592,2014
Kentavious Caldwell-Pope,1.5384633268140635,6344,0.5027168458114806,2014
Jonas Jerebko,-0.9804477662435908,2909,-0.8350638760767662,2014
Anthony Randolph,-4.824758739502886,2206,-1.6425366301951727,2014
Jordan Hamilton,-2.9534304866671484,4138,-1.6717331818676069,2014
Serge Ibaka,4.778970442740891,12763,2.639919987620105,2014
Thabo Sefolosha,-1.651110562268375,7225,-0.8810823560445393,2014
Reggie Jackson,3.194734743595387,11049,1.5938097832221974,2014
Kendrick Perkins,-3.022714931948592,6221,-1.1409808711436795,2014
Kevin Durant,5.067901476867943,15644,2.494748188699009,2014
Nick Collison,4.132214070996445,6090,2.122444181833315,2014
Derek Fisher,1.4911069151175915,6766,0.7206379684016623,2014
Perry Jones III,-1.5072119568358715,3230,-0.9043611539988428,2014
Steven Adams,-3.090590894386632,6057,-1.2220919975680289,2014
Jeremy Lamb,0.5764687776605645,6424,0.4446308326033087,2014
Nate Robinson,3.866833879655882,3428,1.4481942937558243,2014
Andre Roberson,-0.4306741836808447,1618,-0.2607178865704126,2014
Dwight Howard,1.0912551015016636,10259,1.3972092405425531,2014
Patrick Beverley,4.652248106175956,7627,2.329774691984322,2014
Terrence Jones,-2.4584350601155656,8781,-1.1029152384645602,2014
Chandler Parsons,1.5258338692262132,12010,0.905889631458204,2014
James Harden,6.674017653294509,12079,2.635669851311456,2014
Stephen Curry,4.596763095621406,12623,2.281131726513462,2014
Andre Iguodala,5.305869151811363,9088,2.979962154919641,2014
Jermaine O'Neal,-2.6737795149884365,3754,-1.1628875786006028,2014
Klay Thompson,2.009936802539159,12479,1.44350668249899,2014
David Lee,3.2317710494402774,10059,1.8485014826414272,2014
Jordan Crawford,0.1483466779614478,7621,-0.6545458135895108,2014
Omer Asik,-0.9564804531435668,4576,0.1771794800999624,2014
Harrison Barnes,-2.515336784739156,9500,-1.947568295502467,2014
Marreese Speights,-3.3527567648085834,4290,-1.8149268268506424,2014
Jeremy Lin,1.4816278701662342,8942,0.1272976257221602,2014
Steve Blake,1.3003351551098707,6274,-0.1705989982241404,2014
Donatas Motiejunas,-0.0820883175248194,3909,-0.0836764190137452,2014
Draymond Green,5.5028459575100905,8128,2.3074889578985527,2014
Omri Casspi,1.4244690668035904,5267,0.709720189943715,2014
Andrew Bogut,-1.1565482122056334,7107,0.1383038289747467,2014
Russell Westbrook,4.323303887127232,8585,2.0587000613243944,2014
Nemanja Nedovic,-7.409055753512056,583,-1.5067096660937151,2014
Nikola Pekovic,6.322494657426403,6760,2.075002800409624,2014
Jared Dudley,1.579391357011663,7038,0.5028346440046229,2014
DeAndre Jordan,-0.4511674605574238,13181,0.6646564076593237,2014
Jamal Crawford,0.4325577292482767,9654,-0.0072595144275858,2014
Chris Paul,7.506826387177738,10656,3.652376851680589,2014
Blake Griffin,2.0584392478579723,13340,1.6585414298960428,2014
