Group,APM,Appearances,year
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'Jamal Crawford', 'Matt Barnes')",18.09010550056754,1230,2014
"('Damian Lillard', 'Dorell Wright', 'Nicolas Batum', 'Robin Lopez', 'Wesley Matthews')",4.654323689560924,868,2014
"('Chris Bosh', 'Dwyane Wade', 'LeBron James', 'Mario Chalmers', 'Shane Battier')",11.53415926810683,1998,2014
"('Deron Williams', 'Joe Johnson', 'Kevin Garnett', 'Paul Pierce', 'Shaun Livingston')",11.486158934224456,913,2014
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'JJ Redick', 'Jared Dudley')",11.860069682892076,1158,2014
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'JJ Redick', 'Matt Barnes')",14.625873523539203,1301,2014
"('JR Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Timofey Mozgov')",20.232129342414567,2103,2015
"('Chandler Parsons', 'Dirk Nowitzki', 'Jameer Nelson', 'Monta Ellis', 'Tyson Chandler')",11.4247349003163,1006,2015
"('Damian Lillard', 'LaMarcus Aldridge', 'Nicolas Batum', 'Robin Lopez', 'Wesley Matthews')",15.77559144509716,2456,2015
"('Donatas Motiejunas', 'Dwight Howard', 'James Harden', 'Patrick Beverley', 'Trevor Ariza')",14.071357010907654,1417,2015
"('Ersan Ilyasova', 'Giannis Antetokounmpo', 'Khris Middleton', 'Michael Carter-Williams', 'Zaza Pachulia')",10.475095197336284,1590,2015
"('Greivis Vasquez', 'James Johnson', 'Lou Williams', 'Patrick Patterson', 'Tyler Hansbrough')",10.310971382728166,862,2015
"('C.J. Watson', 'David West', 'Rodney Stuckey', 'Roy Hibbert', 'Solomon Hill')",2.0601441475553988,962,2015
"('Alex Len', 'Eric Bledsoe', 'Goran Dragic', 'Markieff Morris', 'P.J. Tucker')",13.255261406417626,1579,2015
"('Andre Roberson', 'Kevin Durant', 'Russell Westbrook', 'Serge Ibaka', 'Steven Adams')",19.028441751658747,964,2015
"('Al Horford', 'DeMarre Carroll', 'Jeff Teague', 'Kyle Korver', 'Paul Millsap')",14.680127791349769,4574,2015
"('Brook Lopez', 'Deron Williams', 'Joe Johnson', 'Markel Brown', 'Thaddeus Young')",11.397014685717052,1002,2015
"('Bojan Bogdanovic', 'Brook Lopez', 'Deron Williams', 'Joe Johnson', 'Thaddeus Young')",1.831381670830984,894,2015
"('Danny Green', 'Kawhi Leonard', 'Tiago Splitter', 'Tim Duncan', 'Tony Parker')",19.03208684483073,1303,2015
"('Boris Diaw', 'Danny Green', 'Kawhi Leonard', 'Tim Duncan', 'Tony Parker')",15.254726948668823,1159,2015
