Group,APM,Appearances,year
"('Al Horford', 'DeMarre Carroll', 'Jeff Teague', 'Kyle Korver', 'Paul Millsap')",8.360123449372988,1563,2014
"('DeMarre Carroll', 'Elton Brand', 'Jeff Teague', 'Kyle Korver', 'Paul Millsap')",9.41860096087138,788,2014
"('DeMarre Carroll', 'Elton Brand', 'Jeff Teague', 'Lou Williams', 'Paul Millsap')",6.292906957383612,372,2014
"('Deron Williams', 'Joe Johnson', 'Mason Plumlee', 'Paul Pierce', 'Shaun Livingston')",11.250059117260488,1051,2014
"('Alan Anderson', 'Andray Blatche', 'Marcus Thornton', 'Mirza Teletovic', 'Shaun Livingston')",15.04541964396165,216,2014
"('Andray Blatche', 'Deron Williams', 'Joe Johnson', 'Paul Pierce', 'Shaun Livingston')",6.758569661370209,463,2014
"('Alan Anderson', 'Andray Blatche', 'Joe Johnson', 'Paul Pierce', 'Shaun Livingston')",6.035352668563265,233,2014
"('Kosta Koufos', 'Mike Conley', 'Tayshaun Prince', 'Tony Allen', 'Zach Randolph')",5.563297486464718,589,2014
"('Al-Farouq Aminu', 'Eric Gordon', 'Jason Smith', 'Jrue Holiday', 'Ryan Anderson')",8.400317329412434,595,2014
"('Jodie Meeks', 'Kendall Marshall', 'Pau Gasol', 'Ryan Kelly', 'Wesley Johnson')",8.66954849876484,812,2014
"('Jodie Meeks', 'Kendall Marshall', 'Nick Young', 'Pau Gasol', 'Ryan Kelly')",10.603877643357569,253,2014
"('Corey Brewer', 'Gorgui Dieng', 'Kevin Love', 'Kevin Martin', 'Ricky Rubio')",5.1566079199120205,906,2014
"('Corey Brewer', 'Dante Cunningham', 'Kevin Love', 'Kevin Martin', 'Ricky Rubio')",12.210806980753777,628,2014
"('JJ Hickson', 'Kenneth Faried', 'Randy Foye', 'Ty Lawson', 'Wilson Chandler')",7.19733504282006,2019,2014
"('Evan Fournier', 'JJ Hickson', 'Kenneth Faried', 'Randy Foye', 'Wilson Chandler')",5.65343641635916,205,2014
"('Kendrick Perkins', 'Kevin Durant', 'Reggie Jackson', 'Serge Ibaka', 'Thabo Sefolosha')",12.251144583200947,2161,2014
"('Derek Fisher', 'Jeremy Lamb', 'Nick Collison', 'Perry Jones III', 'Steven Adams')",-4.569314291814088,424,2014
"('Derek Fisher', 'Jeremy Lamb', 'Kevin Durant', 'Nick Collison', 'Steven Adams')",6.38948288508312,306,2014
"('Jeremy Lamb', 'Kevin Durant', 'Nick Collison', 'Reggie Jackson', 'Serge Ibaka')",17.974860664087817,234,2014
"('Chandler Parsons', 'Dwight Howard', 'James Harden', 'Patrick Beverley', 'Terrence Jones')",10.829140584928195,2541,2014
