year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2017,Denver Nuggets,Jameer Nelson,Wilson Chandler,Danilo Gallinari,Gary Harris,Nikola Jokic,-8.344364422690285,820
2017,Toronto Raptors,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Jonas Valanciunas,Pascal Siakam,-17.910970759652237,1418
2017,Memphis Grizzlies,Tony Allen,Mike Conley,Marc Gasol,Chandler Parsons,JaMychal Green,-11.88214456873775,1092
2017,Phoenix Suns,Tyson Chandler,P.J. Tucker,Eric Bledsoe,Devin Booker,Marquese Chriss,-7.9552686365470455,1127
2018,Houston Rockets,Trevor Ariza,Chris Paul,P.J. Tucker,James Harden,Clint Capela,-15.127415075793486,1833
2018,Houston Rockets,Trevor Ariza,P.J. Tucker,Eric Gordon,James Harden,Clint Capela,-11.444113959794715,1028
2018,New Orleans Pelicans,Rajon Rondo,Jrue Holiday,Nikola Mirotic,E'Twaun Moore,Anthony Davis,6.51279674915587,1627
2018,New Orleans Pelicans,Rajon Rondo,Jrue Holiday,DeMarcus Cousins,E'Twaun Moore,Anthony Davis,-8.574779567476478,1677
2018,Chicago Bulls,Robin Lopez,Justin Holiday,Kris Dunn,Denzel Valentine,Lauri Markkanen,-3.1027508213228807,2053
2018,Houston Rockets,Trevor Ariza,Eric Gordon,Ryan Anderson,James Harden,Clint Capela,11.82567766401391,898
2018,Indiana Pacers,Thaddeus Young,Darren Collison,Bojan Bogdanovic,Victor Oladipo,Domantas Sabonis,-0.5555353166373802,1562
2018,Washington Wizards,Marcin Gortat,John Wall,Bradley Beal,Otto Porter Jr.,Kelly Oubre Jr.,6.74227037164084,873
2018,Milwaukee Bucks,Eric Bledsoe,John Henson,Khris Middleton,Tony Snell,Giannis Antetokounmpo,-3.2727043438823618,2536
2018,Minnesota Timberwolves,Jeff Teague,Taj Gibson,Nemanja Bjelica,Andrew Wiggins,Karl-Anthony Towns,0.7309880254663712,1579
2018,Brooklyn Nets,DeMarre Carroll,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Rondae Hollis-Jefferson,5.200787521878834,1243
2018,New York Knicks,Jarrett Jack,Courtney Lee,Lance Thomas,Enes Freedom,Kristaps Porzingis,-5.41620031000345,1218
2018,Toronto Raptors,Kyle Lowry,Serge Ibaka,DeMar DeRozan,Jonas Valanciunas,Norman Powell,-9.110152210649181,1121
2018,Toronto Raptors,CJ Miles,Delon Wright,Jakob Poeltl,Pascal Siakam,Fred VanVleet,8.3646184300231,1407
2018,Utah Jazz,Ricky Rubio,Derrick Favors,Rudy Gobert,Joe Ingles,Donovan Mitchell,-1.5101062448537075,2151
2018,Utah Jazz,Ricky Rubio,Jae Crowder,Rudy Gobert,Joe Ingles,Donovan Mitchell,20.81233624493209,831
2018,Charlotte Hornets,Dwight Howard,Marvin Williams,Nicolas Batum,Kemba Walker,Michael Kidd-Gilchrist,-3.057043523028296,4476
2018,Golden State Warriors,Andre Iguodala,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,-13.933138285985939,1094
2018,Golden State Warriors,Zaza Pachulia,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,-10.411325025937666,1755
2018,Indiana Pacers,Thaddeus Young,Cory Joseph,Bojan Bogdanovic,Victor Oladipo,Myles Turner,3.159971747530415,1337
2018,Los Angeles Lakers,Brook Lopez,Kentavious Caldwell-Pope,Brandon Ingram,Lonzo Ball,Kyle Kuzma,-1.7458855411890428,969
2018,Detroit Pistons,Blake Griffin,Ish Smith,Andre Drummond,Reggie Bullock,Stanley Johnson,3.232631491950664,1092
2018,Atlanta Hawks,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,Taurean Prince,-4.814979494952439,1449
2018,Minnesota Timberwolves,Jeff Teague,Taj Gibson,Jimmy Butler,Andrew Wiggins,Karl-Anthony Towns,-3.6460769264304247,4696
2018,Washington Wizards,Marcin Gortat,Markieff Morris,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,0.857866164264772,2025
2018,Toronto Raptors,Kyle Lowry,Serge Ibaka,DeMar DeRozan,Jonas Valanciunas,O.G. Anunoby,-1.5809235849246743,3859
2018,Washington Wizards,Marcin Gortat,John Wall,Markieff Morris,Bradley Beal,Otto Porter Jr.,-2.3088499553650683,2224
2018,Dallas Mavericks,Dirk Nowitzki,Wesley Matthews,Harrison Barnes,Dennis Smith Jr.,Maxi Kleber,-10.536218949980602,1082
2018,Dallas Mavericks,Dirk Nowitzki,Devin Harris,J.J. Barea,Dwight Powell,Yogi Ferrell,13.429646590417855,921
2018,Indiana Pacers,Thaddeus Young,Darren Collison,Bojan Bogdanovic,Victor Oladipo,Myles Turner,-7.118316368741404,3253
2018,Detroit Pistons,Avery Bradley,Tobias Harris,Reggie Jackson,Andre Drummond,Stanley Johnson,-9.504561639317181,1570
2018,Cleveland Cavaliers,LeBron James,JR Smith,Jose Calderon,Kevin Love,Jae Crowder,4.38165001899443,1401
2018,Boston Celtics,Al Horford,Kyrie Irving,Aron Baynes,Jaylen Brown,Jayson Tatum,-3.0413556692430728,1396
2018,Denver Nuggets,Paul Millsap,Wilson Chandler,Gary Harris,Nikola Jokic,Jamal Murray,-1.6252962948328324,1406
2018,Oklahoma City Thunder,Carmelo Anthony,Corey Brewer,Russell Westbrook,Paul George,Steven Adams,-4.014355083775756,1815
2018,Oklahoma City Thunder,Carmelo Anthony,Russell Westbrook,Paul George,Steven Adams,Terrance Ferguson,-7.727008151374189,964
2018,Portland Trail Blazers,Evan Turner,Al-Farouq Aminu,Damian Lillard,CJ McCollum,Jusuf Nurkic,-0.2223511908287703,2449
2018,Portland Trail Blazers,Al-Farouq Aminu,Damian Lillard,Maurice Harkless,CJ McCollum,Jusuf Nurkic,0.2258778832215409,1857
2018,New York Knicks,Jarrett Jack,Courtney Lee,Enes Freedom,Tim Hardaway Jr.,Kristaps Porzingis,5.522759889001761,1503
2018,Orlando Magic,Bismack Biyombo,Evan Fournier,Jonathon Simmons,Elfrid Payton,Aaron Gordon,-1.052805269879312,887
2018,Minnesota Timberwolves,Taj Gibson,Jimmy Butler,Andrew Wiggins,Tyus Jones,Karl-Anthony Towns,7.7269786488930805,990
2018,Milwaukee Bucks,Eric Bledsoe,John Henson,Khris Middleton,Giannis Antetokounmpo,Malcolm Brogdon,3.360970767800799,922
2018,Orlando Magic,Nikola Vucevic,Evan Fournier,Jonathon Simmons,Elfrid Payton,Aaron Gordon,-13.115994548776932,845
2018,Charlotte Hornets,Dwight Howard,Marvin Williams,Kemba Walker,Michael Kidd-Gilchrist,Jeremy Lamb,-8.621479410978719,934
2018,Denver Nuggets,Wilson Chandler,Will Barton,Gary Harris,Nikola Jokic,Jamal Murray,-3.0944625434737834,1224
2018,Philadelphia 76ers,JJ Redick,Robert Covington,Joel Embiid,Dario Saric,Ben Simmons,3.5056976110076974,2738
2018,Miami Heat,Goran Dragic,James Johnson,Hassan Whiteside,Tyler Johnson,Josh Richardson,-2.9478404305967705,1023
2018,Oklahoma City Thunder,Carmelo Anthony,Russell Westbrook,Paul George,Andre Roberson,Steven Adams,1.2216455349882018,2093
2018,Los Angeles Lakers,Brook Lopez,Kentavious Caldwell-Pope,Julius Randle,Lonzo Ball,Kyle Kuzma,-13.650414904515728,885
2018,Oklahoma City Thunder,Carmelo Anthony,Russell Westbrook,Paul George,Steven Adams,Alex Abrines,-2.973275980980019,850
2018,Orlando Magic,D.J. Augustin,Nikola Vucevic,Evan Fournier,Jonathon Simmons,Aaron Gordon,-2.3039402588223856,801
2018,Denver Nuggets,Paul Millsap,Wilson Chandler,Will Barton,Nikola Jokic,Jamal Murray,1.9202723866335685,1174
2018,Los Angeles Lakers,Brook Lopez,Kentavious Caldwell-Pope,Larry Nance Jr.,Brandon Ingram,Lonzo Ball,-8.938783127974467,911
2019,Atlanta Hawks,Dewayne Dedmon,Taurean Prince,John Collins,Kevin Huerter,Trae Young,-5.418373087274966,1393
2019,Boston Celtics,Al Horford,Kyrie Irving,Marcus Morris Sr.,Marcus Smart,Jayson Tatum,-8.025868151961372,2097
2019,Toronto Raptors,Kyle Lowry,Serge Ibaka,Danny Green,Kawhi Leonard,Pascal Siakam,-10.031080462859135,2416
2019,Indiana Pacers,Thaddeus Young,Darren Collison,Bojan Bogdanovic,Victor Oladipo,Myles Turner,-2.992178875348361,2229
2019,Denver Nuggets,Paul Millsap,Gary Harris,Nikola Jokic,Jamal Murray,Torrey Craig,-21.263781702047346,1553
2019,Orlando Magic,D.J. Augustin,Nikola Vucevic,Evan Fournier,Aaron Gordon,Wes Iwundu,-0.8912370975303991,808
2019,Orlando Magic,D.J. Augustin,Nikola Vucevic,Evan Fournier,Aaron Gordon,Jonathan Isaac,-3.7563278917707446,3815
2019,Orlando Magic,D.J. Augustin,Nikola Vucevic,Terrence Ross,Evan Fournier,Aaron Gordon,3.640334590984022,986
2019,Golden State Warriors,Kevin Durant,Stephen Curry,DeMarcus Cousins,Klay Thompson,Draymond Green,-4.6916085544171136,1250
2019,Golden State Warriors,Andre Iguodala,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,7.336992474766362,1423
2019,Golden State Warriors,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,Kevon Looney,-4.528680397437924,1492
2019,Memphis Grizzlies,Mike Conley,Marc Gasol,Garrett Temple,Kyle Anderson,Jaren Jackson Jr.,0.5264882881344688,1830
2019,Milwaukee Bucks,Brook Lopez,Eric Bledsoe,Khris Middleton,Giannis Antetokounmpo,Malcolm Brogdon,-14.899700690312569,2772
2019,Charlotte Hornets,Marvin Williams,Nicolas Batum,Kemba Walker,Jeremy Lamb,Cody Zeller,-0.06699328359410739,2409
2019,Brooklyn Nets,Jared Dudley,Joe Harris,D'Angelo Russell,Caris LeVert,Jarrett Allen,-3.831268378862454,874
2019,Phoenix Suns,T.J. Warren,Devin Booker,Mikal Bridges,De'Anthony Melton,Deandre Ayton,-16.242694663778956,820
2019,Oklahoma City Thunder,Russell Westbrook,Paul George,Steven Adams,Jerami Grant,Terrance Ferguson,-4.557518770618733,4193
2019,Oklahoma City Thunder,Russell Westbrook,Paul George,Dennis Schroder,Steven Adams,Jerami Grant,-6.398674571442058,2113
2019,Toronto Raptors,Serge Ibaka,Danny Green,Kawhi Leonard,Pascal Siakam,Fred VanVleet,0.6939276348108496,821
2019,Utah Jazz,Ricky Rubio,Derrick Favors,Rudy Gobert,Joe Ingles,Donovan Mitchell,-7.724443822037406,2167
2019,Utah Jazz,Ricky Rubio,Jae Crowder,Rudy Gobert,Joe Ingles,Donovan Mitchell,-1.6512669425993707,2127
2019,Philadelphia 76ers,JJ Redick,Tobias Harris,Jimmy Butler,Joel Embiid,Ben Simmons,2.42909368473752,1402
2019,Houston Rockets,Chris Paul,P.J. Tucker,Eric Gordon,James Harden,Clint Capela,-8.685139657342384,2432
2019,San Antonio Spurs,LaMarcus Aldridge,Rudy Gay,DeMar DeRozan,Bryn Forbes,Derrick White,-2.9654330159212536,1682
2019,Chicago Bulls,Robin Lopez,Otto Porter Jr.,Zach LaVine,Kris Dunn,Lauri Markkanen,-9.05073031241296,849
2019,Minnesota Timberwolves,Andrew Wiggins,Dario Saric,Tyus Jones,Karl-Anthony Towns,Josh Okogie,-6.363075860564961,1258
2019,Detroit Pistons,Blake Griffin,Wayne Ellington,Reggie Jackson,Andre Drummond,Bruce Brown,-2.1159155105151375,1204
2019,Toronto Raptors,Kyle Lowry,Serge Ibaka,Danny Green,Pascal Siakam,Fred VanVleet,-3.899131428059487,808
2019,Washington Wizards,Trevor Ariza,Jeff Green,Bradley Beal,Tomas Satoransky,Thomas Bryant,-1.7947047352113736,1418
2019,Sacramento Kings,Nemanja Bjelica,Iman Shumpert,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,-5.678820583491893,2159
2019,Indiana Pacers,Thaddeus Young,Darren Collison,Wesley Matthews,Bojan Bogdanovic,Myles Turner,-7.348696728529118,1631
2019,Indiana Pacers,Thaddeus Young,Tyreke Evans,Darren Collison,Bojan Bogdanovic,Myles Turner,4.747018573487589,1088
2019,San Antonio Spurs,LaMarcus Aldridge,DeMar DeRozan,Jakob Poeltl,Bryn Forbes,Derrick White,-11.47453850154487,1050
2019,Denver Nuggets,Paul Millsap,Will Barton,Gary Harris,Nikola Jokic,Jamal Murray,-2.689118734369764,2130
2019,Sacramento Kings,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,-8.93343572773214,1141
2019,Washington Wizards,Trevor Ariza,Jeff Green,Bradley Beal,Tomas Satoransky,Bobby Portis,-6.368173366192957,1036
2019,Portland Trail Blazers,Al-Farouq Aminu,Damian Lillard,Maurice Harkless,CJ McCollum,Jusuf Nurkic,-7.414419123332403,3045
2019,LA Clippers,Danilo Gallinari,Patrick Beverley,Ivica Zubac,Shai Gilgeous-Alexander,Landry Shamet,2.249531965115323,1159
2019,Oklahoma City Thunder,Russell Westbrook,Dennis Schroder,Steven Adams,Jerami Grant,Terrance Ferguson,-0.7334367392770771,852
2019,Charlotte Hornets,Marvin Williams,Nicolas Batum,Bismack Biyombo,Kemba Walker,Jeremy Lamb,-9.59075956698101,860
2019,Dallas Mavericks,DeAndre Jordan,Wesley Matthews,Harrison Barnes,Dennis Smith Jr.,Luka Doncic,-8.342568472964455,1702
2019,Philadelphia 76ers,JJ Redick,Wilson Chandler,Jimmy Butler,Joel Embiid,Ben Simmons,-3.6924445985475103,1218
2019,Chicago Bulls,Justin Holiday,Zach LaVine,Jabari Parker,Ryan Arcidiacono,Wendell Carter Jr.,0.46962838813320396,949
2019,Toronto Raptors,Kyle Lowry,Marc Gasol,Danny Green,Kawhi Leonard,Pascal Siakam,-8.638051807872372,2186
2019,Minnesota Timberwolves,Jeff Teague,Taj Gibson,Robert Covington,Andrew Wiggins,Karl-Anthony Towns,-4.0722208204569235,948
2019,Los Angeles Lakers,LeBron James,JaVale McGee,Brandon Ingram,Lonzo Ball,Kyle Kuzma,-5.532527237893606,997
2019,Dallas Mavericks,DeAndre Jordan,Wesley Matthews,Harrison Barnes,Jalen Brunson,Luka Doncic,-6.587609990843864,807
2019,LA Clippers,Marcin Gortat,Danilo Gallinari,Avery Bradley,Tobias Harris,Shai Gilgeous-Alexander,-7.44694325086984,1418
2019,Houston Rockets,Chris Paul,P.J. Tucker,James Harden,James Ennis III,Clint Capela,-17.679202038904208,845
2019,Detroit Pistons,Blake Griffin,Reggie Jackson,Andre Drummond,Reggie Bullock,Bruce Brown,7.2724889743755075,1192
2019,Portland Trail Blazers,Evan Turner,Al-Farouq Aminu,Damian Lillard,CJ McCollum,Jusuf Nurkic,1.3702748643210807,1095
2019,Portland Trail Blazers,Al-Farouq Aminu,Damian Lillard,CJ McCollum,Jusuf Nurkic,Jake Layman,-1.9995475408191385,1533
2020,Houston Rockets,P.J. Tucker,Russell Westbrook,James Harden,Robert Covington,Danuel House Jr.,-5.270237799994112,960
2020,Cleveland Cavaliers,Kevin Love,Tristan Thompson,Cedi Osman,Collin Sexton,Darius Garland,0.8113056906304621,2777
2020,Chicago Bulls,Tomas Satoransky,Zach LaVine,Kris Dunn,Lauri Markkanen,Wendell Carter Jr.,3.9694969859316194,1280
2020,Los Angeles Lakers,LeBron James,JaVale McGee,Danny Green,Avery Bradley,Anthony Davis,-2.266384707837588,1638
2020,Phoenix Suns,Ricky Rubio,Aron Baynes,Dario Saric,Kelly Oubre Jr.,Devin Booker,3.8240576299855538,1038
2020,San Antonio Spurs,LaMarcus Aldridge,DeMar DeRozan,Trey Lyles,Dejounte Murray,Bryn Forbes,0.5055688578611892,2062
2020,Toronto Raptors,Kyle Lowry,Marc Gasol,Pascal Siakam,Fred VanVleet,O.G. Anunoby,-0.8734281510339734,2237
2020,Toronto Raptors,Kyle Lowry,Serge Ibaka,Pascal Siakam,Fred VanVleet,O.G. Anunoby,-13.54694347740415,1028
2020,Milwaukee Bucks,Brook Lopez,Wesley Matthews,Eric Bledsoe,Khris Middleton,Giannis Antetokounmpo,0.872364892480249,2292
2020,Charlotte Hornets,Cody Zeller,Terry Rozier,Miles Bridges,Devonte' Graham,P.J. Washington,8.473789448561075,1096
2020,Atlanta Hawks,John Collins,Kevin Huerter,Trae Young,Cam Reddish,De'Andre Hunter,6.725789460177029,871
2020,Brooklyn Nets,Spencer Dinwiddie,Joe Harris,Caris LeVert,Taurean Prince,Jarrett Allen,4.259959140778488,840
2020,Brooklyn Nets,Garrett Temple,Spencer Dinwiddie,Joe Harris,Taurean Prince,Jarrett Allen,-3.5669093229672355,1966
2020,Orlando Magic,Nikola Vucevic,Terrence Ross,Evan Fournier,Aaron Gordon,Markelle Fultz,3.217341697946243,936
2020,Denver Nuggets,Paul Millsap,Will Barton,Gary Harris,Nikola Jokic,Jamal Murray,-4.4229672462771905,2954
2020,Indiana Pacers,Justin Holiday,Doug McDermott,T.J. McConnell,Domantas Sabonis,Aaron Holiday,2.275410099643226,989
2020,Utah Jazz,Bojan Bogdanovic,Rudy Gobert,Joe Ingles,Royce O'Neale,Donovan Mitchell,-0.2359713797480829,2306
2020,Los Angeles Lakers,LeBron James,JaVale McGee,Danny Green,Anthony Davis,Kentavious Caldwell-Pope,-14.285415112682545,1688
2020,Indiana Pacers,Jeremy Lamb,T.J. Warren,Myles Turner,Domantas Sabonis,Malcolm Brogdon,4.6574711649476725,1401
2020,Toronto Raptors,Marc Gasol,Norman Powell,Pascal Siakam,Fred VanVleet,O.G. Anunoby,6.152020070356192,847
2020,Miami Heat,Jimmy Butler,Meyers Leonard,Bam Adebayo,Duncan Robinson,Kendrick Nunn,1.4816154831721136,1937
2020,Philadelphia 76ers,Al Horford,Tobias Harris,Joel Embiid,Josh Richardson,Ben Simmons,1.3650541366055453,1014
2020,Orlando Magic,Nikola Vucevic,Evan Fournier,Aaron Gordon,Markelle Fultz,Jonathan Isaac,-3.8932175726678566,996
2020,Boston Celtics,Gordon Hayward,Kemba Walker,Jaylen Brown,Jayson Tatum,Daniel Theis,-4.952507639240311,1183
2020,Boston Celtics,Kemba Walker,Marcus Smart,Jaylen Brown,Jayson Tatum,Daniel Theis,-9.146229938589972,1518
2020,Utah Jazz,Mike Conley,Bojan Bogdanovic,Rudy Gobert,Royce O'Neale,Donovan Mitchell,3.448824389243727,1551
2020,Memphis Grizzlies,Jonas Valanciunas,Jae Crowder,Dillon Brooks,Jaren Jackson Jr.,Ja Morant,4.579024366607191,1749
2020,Sacramento Kings,Nemanja Bjelica,Cory Joseph,Harrison Barnes,Richaun Holmes,Buddy Hield,-1.3208897094504115,1052
2020,Utah Jazz,Mike Conley,Bojan Bogdanovic,Rudy Gobert,Joe Ingles,Donovan Mitchell,-14.341532586218111,964
2020,New Orleans Pelicans,Jrue Holiday,Derrick Favors,Brandon Ingram,Lonzo Ball,Zion Williamson,7.99402226757441,1245
2020,Oklahoma City Thunder,Chris Paul,Danilo Gallinari,Steven Adams,Terrance Ferguson,Shai Gilgeous-Alexander,-7.526779583148769,1378
2020,Oklahoma City Thunder,Chris Paul,Danilo Gallinari,Dennis Schroder,Steven Adams,Shai Gilgeous-Alexander,19.188229124446377,938
2020,Charlotte Hornets,Bismack Biyombo,Terry Rozier,Miles Bridges,Devonte' Graham,P.J. Washington,-0.4638333540934436,1007
2020,Houston Rockets,P.J. Tucker,Russell Westbrook,James Harden,Clint Capela,Danuel House Jr.,0.253814363126482,1540
2020,Oklahoma City Thunder,Chris Paul,Danilo Gallinari,Steven Adams,Shai Gilgeous-Alexander,Luguentz Dort,-10.228179706835853,1161
2020,Portland Trail Blazers,Carmelo Anthony,Trevor Ariza,Hassan Whiteside,Damian Lillard,CJ McCollum,-0.7155431732750612,965
2020,Dallas Mavericks,Tim Hardaway Jr.,Dwight Powell,Kristaps Porzingis,Dorian Finney-Smith,Luka Doncic,-0.671318156992287,858
2020,Phoenix Suns,Ricky Rubio,Kelly Oubre Jr.,Devin Booker,Mikal Bridges,Deandre Ayton,10.09931769273137,950
2020,New York Knicks,Taj Gibson,Marcus Morris Sr.,Julius Randle,Frank Ntilikina,RJ Barrett,-3.557112081357615,955
2020,Portland Trail Blazers,Carmelo Anthony,Hassan Whiteside,Damian Lillard,Kent Bazemore,CJ McCollum,-4.256551186848497,1284
2020,LA Clippers,Patrick Beverley,Paul George,Kawhi Leonard,Maurice Harkless,Ivica Zubac,-5.944013072800551,900
2020,LA Clippers,Patrick Beverley,Paul George,Marcus Morris Sr.,Kawhi Leonard,Ivica Zubac,3.2620939955606296,894
2021,New Orleans Pelicans,Eric Bledsoe,Steven Adams,Brandon Ingram,Lonzo Ball,Zion Williamson,-4.35904900254873,2501
2021,Charlotte Hornets,Gordon Hayward,Bismack Biyombo,Terry Rozier,Devonte' Graham,P.J. Washington,-12.75179882593513,1046
2021,Indiana Pacers,Justin Holiday,Doug McDermott,Myles Turner,Domantas Sabonis,Malcolm Brogdon,4.241722863884884,980
2021,San Antonio Spurs,LaMarcus Aldridge,DeMar DeRozan,Dejounte Murray,Lonnie Walker IV,Keldon Johnson,-10.105642883467016,907
2021,San Antonio Spurs,DeMar DeRozan,Dejounte Murray,Jakob Poeltl,Lonnie Walker IV,Keldon Johnson,-1.5943997942586203,814
2021,Philadelphia 76ers,Danny Green,Tobias Harris,Seth Curry,Joel Embiid,Ben Simmons,-0.5445709147200226,3137
2021,Phoenix Suns,Jae Crowder,Devin Booker,Cameron Payne,Mikal Bridges,Deandre Ayton,-6.476505859624506,917
2021,Phoenix Suns,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,Deandre Ayton,-9.913570972841814,4387
2021,Portland Trail Blazers,Damian Lillard,CJ McCollum,Robert Covington,Jusuf Nurkic,Norman Powell,-0.244295564292214,2037
2021,Portland Trail Blazers,Damian Lillard,CJ McCollum,Robert Covington,Jusuf Nurkic,Derrick Jones Jr.,-2.8728139592180018,863
2021,Phoenix Suns,Chris Paul,Devin Booker,Mikal Bridges,Deandre Ayton,Cameron Johnson,-0.43025797801984567,870
2021,Memphis Grizzlies,Jonas Valanciunas,Kyle Anderson,Dillon Brooks,Ja Morant,Desmond Bane,-1.1912364345571582,1042
2021,Memphis Grizzlies,Jonas Valanciunas,Kyle Anderson,Dillon Brooks,Grayson Allen,Ja Morant,-1.5055789111062978,1984
2021,Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Kevin Huerter,Trae Young,10.690595193285272,1104
2021,Milwaukee Bucks,Brook Lopez,Jrue Holiday,Khris Middleton,Giannis Antetokounmpo,Donte DiVincenzo,-6.26375482913013,2362
2021,Miami Heat,Trevor Ariza,Jimmy Butler,Bam Adebayo,Duncan Robinson,Kendrick Nunn,-2.2434909224283732,944
2021,Golden State Warriors,Stephen Curry,Draymond Green,Andrew Wiggins,Kelly Oubre Jr.,James Wiseman,-12.916990808525602,1075
2021,Golden State Warriors,Stephen Curry,Draymond Green,Kent Bazemore,Andrew Wiggins,Kevon Looney,-3.9926207283329145,1206
2021,Sacramento Kings,Harrison Barnes,Richaun Holmes,Buddy Hield,De'Aaron Fox,Marvin Bagley III,1.6551458309657674,1762
2021,Sacramento Kings,Harrison Barnes,Richaun Holmes,Buddy Hield,De'Aaron Fox,Tyrese Haliburton,4.87970873924081,1705
2021,Atlanta Hawks,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,-13.816412570592483,821
2021,San Antonio Spurs,DeMar DeRozan,Dejounte Murray,Jakob Poeltl,Derrick White,Keldon Johnson,-2.70906835781895,1371
2021,Utah Jazz,Mike Conley,Bojan Bogdanovic,Rudy Gobert,Royce O'Neale,Donovan Mitchell,-10.782336231678773,2651
2021,Utah Jazz,Derrick Favors,Bojan Bogdanovic,Joe Ingles,Royce O'Neale,Donovan Mitchell,-8.10663686310962,822
2021,Utah Jazz,Mike Conley,Rudy Gobert,Jordan Clarkson,Joe Ingles,Georges Niang,-3.6800249230147486,1446
2021,Utah Jazz,Derrick Favors,Bojan Bogdanovic,Jordan Clarkson,Royce O'Neale,Donovan Mitchell,4.82551343523743,1339
2021,Utah Jazz,Bojan Bogdanovic,Rudy Gobert,Joe Ingles,Royce O'Neale,Donovan Mitchell,3.4439553418028837,1333
2021,Dallas Mavericks,Kristaps Porzingis,Josh Richardson,Dorian Finney-Smith,Maxi Kleber,Luka Doncic,4.261992624250319,1177
2021,Los Angeles Lakers,LeBron James,Marc Gasol,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,-0.0027817424420746306,1190
2021,New York Knicks,Reggie Bullock,Elfrid Payton,Julius Randle,Mitchell Robinson,RJ Barrett,-1.0596943148385827,1555
2021,New York Knicks,Nerlens Noel,Reggie Bullock,Elfrid Payton,Julius Randle,RJ Barrett,-5.223685405089145,2264
2021,Denver Nuggets,Paul Millsap,Will Barton,Nikola Jokic,Jamal Murray,Michael Porter Jr.,-5.279666474221581,861
2021,Portland Trail Blazers,Enes Freedom,Damian Lillard,Robert Covington,Derrick Jones Jr.,Gary Trent Jr.,6.420966225999454,1156
2021,Oklahoma City Thunder,Al Horford,George Hill,Shai Gilgeous-Alexander,Darius Bazley,Luguentz Dort,1.2465910426925784,802
2021,LA Clippers,Paul George,Marcus Morris Sr.,Kawhi Leonard,Reggie Jackson,Ivica Zubac,2.7874152454921735,941
2021,Denver Nuggets,Paul Millsap,Will Barton,Gary Harris,Nikola Jokic,Jamal Murray,2.08712081081244,973
2021,LA Clippers,Serge Ibaka,Nicolas Batum,Patrick Beverley,Paul George,Kawhi Leonard,-3.7614611957727284,1070
2022,New Orleans Pelicans,Jonas Valanciunas,CJ McCollum,Brandon Ingram,Jaxson Hayes,Herbert Jones,-0.8606633425079941,975
2022,Utah Jazz,Mike Conley,Bojan Bogdanovic,Rudy Gobert,Royce O'Neale,Donovan Mitchell,-2.8477966687642864,3039
2022,Utah Jazz,Hassan Whiteside,Bojan Bogdanovic,Jordan Clarkson,Royce O'Neale,Donovan Mitchell,-2.5830091179017245,976
2022,Toronto Raptors,Pascal Siakam,Fred VanVleet,O.G. Anunoby,Gary Trent Jr.,Scottie Barnes,-6.429943491421528,1367
2022,Miami Heat,Kyle Lowry,P.J. Tucker,Jimmy Butler,Bam Adebayo,Duncan Robinson,0.06344600575905268,1650
2022,Atlanta Hawks,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,-2.285905918006147,882
2022,Atlanta Hawks,Danilo Gallinari,Clint Capela,Kevin Huerter,Trae Young,De'Andre Hunter,-5.721427087852508,1072
2022,LA Clippers,Nicolas Batum,Marcus Morris Sr.,Reggie Jackson,Ivica Zubac,Amir Coffey,-12.26108978740087,896
2022,Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,-0.08427714277404519,987
2022,Chicago Bulls,DeMar DeRozan,Nikola Vucevic,Zach LaVine,Javonte Green,Ayo Dosunmu,-5.731769559811337,1007
2022,Phoenix Suns,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,Deandre Ayton,-8.966514628469664,3793
2022,Boston Celtics,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,Robert Williams III,2.205770822520165,2376
2022,Minnesota Timberwolves,Patrick Beverley,D'Angelo Russell,Karl-Anthony Towns,Jarred Vanderbilt,Anthony Edwards,0.12900340598737614,2201
2022,New York Knicks,Alec Burks,Evan Fournier,Julius Randle,Mitchell Robinson,RJ Barrett,-1.295853560748887,1723
2022,Denver Nuggets,Jeff Green,Will Barton,Aaron Gordon,Nikola Jokic,Monte Morris,-1.4747013638447122,3470
2022,Charlotte Hornets,Gordon Hayward,Mason Plumlee,Terry Rozier,Miles Bridges,LaMelo Ball,-7.744597985192298,1582
