year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2014,Miami Heat,Shane Battier,LeBron James,Chris Bosh,Dwyane Wade,Mario Chalmers,-6.660230017486643,1998
2014,Brooklyn Nets,Kevin Garnett,Paul Pierce,Joe Johnson,Shaun Livingston,Deron Williams,9.11497405610456,913
2014,LA Clippers,Chris Paul,JJ Redick,Jared Dudley,DeAndre Jordan,Blake Griffin,-9.237479487854944,1158
2015,Cleveland Cavaliers,LeBron James,JR Smith,Kevin Love,Timofey Mozgov,Kyrie Irving,2.2567533070354244,2103
2015,Dallas Mavericks,Dirk Nowitzki,Tyson Chandler,Jameer Nelson,Monta Ellis,Chandler Parsons,1.8045044399030026,1006
2015,Portland Trail Blazers,LaMarcus Aldridge,Robin Lopez,Nicolas Batum,Wesley Matthews,Damian Lillard,-2.595956217577557,2456
2015,Houston Rockets,Dwight Howard,Trevor Ariza,James Harden,Patrick Beverley,Donatas Motiejunas,-2.3391711948829226,1417
2015,Milwaukee Bucks,Zaza Pachulia,Ersan Ilyasova,Khris Middleton,Michael Carter-Williams,Giannis Antetokounmpo,-1.7244171114762459,1590
2015,Toronto Raptors,Lou Williams,Tyler Hansbrough,James Johnson,Patrick Patterson,Greivis Vasquez,8.292689423862521,862
2015,Indiana Pacers,David West,Rodney Stuckey,C.J. Watson,Roy Hibbert,Solomon Hill,-14.18273249453512,962
2015,Phoenix Suns,P.J. Tucker,Goran Dragic,Eric Bledsoe,Markieff Morris,Alex Len,-0.8204839789223399,1579
2015,Oklahoma City Thunder,Kevin Durant,Russell Westbrook,Serge Ibaka,Andre Roberson,Steven Adams,-1.0149626191477754,964
2015,Atlanta Hawks,Kyle Korver,Paul Millsap,Al Horford,Jeff Teague,DeMarre Carroll,-6.512192260475839,4574
2015,Brooklyn Nets,Joe Johnson,Deron Williams,Thaddeus Young,Brook Lopez,Markel Brown,1.0216852120349635,1002
2015,Brooklyn Nets,Joe Johnson,Deron Williams,Thaddeus Young,Brook Lopez,Bojan Bogdanovic,-13.235150484024977,894
2015,San Antonio Spurs,Tim Duncan,Tony Parker,Tiago Splitter,Danny Green,Kawhi Leonard,2.70702815071445,1303
2015,San Antonio Spurs,Tim Duncan,Tony Parker,Boris Diaw,Danny Green,Kawhi Leonard,-3.4880825398718933,1159
2015,Golden State Warriors,Andrew Bogut,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,-3.798673362697979,4311
2015,Golden State Warriors,Andre Iguodala,Andrew Bogut,Stephen Curry,Klay Thompson,Draymond Green,0.3556425055176078,1006
2015,Golden State Warriors,Marreese Speights,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,-4.043980768100106,875
2015,Golden State Warriors,Andre Iguodala,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,-7.476891660953655,854
2015,Washington Wizards,Paul Pierce,Nene,Marcin Gortat,John Wall,Bradley Beal,-7.101801346794798,2657
2015,Detroit Pistons,Brandon Jennings,Greg Monroe,Kyle Singler,Andre Drummond,Kentavious Caldwell-Pope,0.5893966538504216,1007
2015,LA Clippers,Matt Barnes,Chris Paul,JJ Redick,DeAndre Jordan,Blake Griffin,-3.3746114774507667,5700
2015,LA Clippers,Jamal Crawford,Chris Paul,JJ Redick,DeAndre Jordan,Blake Griffin,-5.516002863389581,1213
2015,Toronto Raptors,Amir Johnson,Kyle Lowry,DeMar DeRozan,Jonas Valanciunas,Terrence Ross,-1.2974501788269617,1670
2015,Los Angeles Lakers,Kobe Bryant,Carlos Boozer,Jordan Hill,Wesley Johnson,Jeremy Lin,-10.465722028505159,1367
2015,Utah Jazz,Derrick Favors,Gordon Hayward,Enes Freedom,Alec Burks,Trey Burke,-3.178925895521169,1222
2015,Boston Celtics,Brandon Bass,Evan Turner,Avery Bradley,Tyler Zeller,Marcus Smart,-9.261404702511243,1368
2015,Indiana Pacers,David West,CJ Miles,Roy Hibbert,George Hill,Solomon Hill,-3.87004489932981,1444
2015,Memphis Grizzlies,Zach Randolph,Mike Conley,Jeff Green,Marc Gasol,Courtney Lee,-8.663146574358985,1867
2015,Memphis Grizzlies,Zach Randolph,Tony Allen,Mike Conley,Marc Gasol,Courtney Lee,-10.021790598432077,2073
2015,Denver Nuggets,Wilson Chandler,Arron Afflalo,Ty Lawson,Kenneth Faried,Jusuf Nurkic,-6.5054187972397575,1052
2015,Dallas Mavericks,Dirk Nowitzki,Tyson Chandler,Monta Ellis,Rajon Rondo,Chandler Parsons,-10.579476996103626,1854
2015,Orlando Magic,Channing Frye,Nikola Vucevic,Tobias Harris,Evan Fournier,Victor Oladipo,-5.461452586100025,817
2015,Washington Wizards,Paul Pierce,Kris Humphries,Marcin Gortat,John Wall,Bradley Beal,-8.949037219952878,1221
2015,Chicago Bulls,Pau Gasol,Mike Dunleavy,Joakim Noah,Derrick Rose,Jimmy Butler,-8.693726328741157,1944
2015,Phoenix Suns,Goran Dragic,Eric Bledsoe,Markieff Morris,Marcus Morris Sr.,Miles Plumlee,-2.1087761295208836,938
2015,Cleveland Cavaliers,Shawn Marion,LeBron James,Anderson Varejao,Kevin Love,Kyrie Irving,-5.916482817856718,1000
2015,LA Clippers,Jamal Crawford,Matt Barnes,Chris Paul,DeAndre Jordan,Blake Griffin,-4.849300970803107,938
2015,Sacramento Kings,Rudy Gay,Jason Thompson,Darren Collison,DeMarcus Cousins,Ben McLemore,7.492374425756299,1713
2015,Denver Nuggets,Wilson Chandler,Arron Afflalo,Ty Lawson,Timofey Mozgov,Kenneth Faried,-4.176838723277011,1638
2015,New Orleans Pelicans,Eric Gordon,Omer Asik,Tyreke Evans,Quincy Pondexter,Anthony Davis,-3.4465351808836004,1514
2015,Los Angeles Lakers,Kobe Bryant,Ronnie Price,Jordan Hill,Wesley Johnson,Ed Davis,-4.841165726470499,1053
2015,New Orleans Pelicans,Omer Asik,Tyreke Evans,Jrue Holiday,Luke Babbitt,Anthony Davis,-10.594732807126771,801
2015,Denver Nuggets,Randy Foye,Wilson Chandler,Danilo Gallinari,Ty Lawson,Kenneth Faried,6.715655384587234,1049
