player_id,player
76127,Elgin Baylor
203382,Aron Baynes
76128,Sergei Bazarevich
203145,Kent Bazemore
1629647,Darius Bazley
76129,Ed Beach
203078,Bradley Beal
76130,Butch Beard
76131,Ralph Beard
2602,Jerome Beasley
1627736,Malik Beasley
201563,Michael Beasley
76133,Zelmo Beaty
201958,Rodrigue Beaubois
1630699,MarJon Beauchamp
76134,Byron Beck
1133,Corey Beck
76136,Ernie Beck
76137,Moe Becker
76138,William Bedford
1641736,Reece Beekman
76139,Hank Beenders
76140,Ron Behagen
76141,Elmer Behnke
201158,Marco Belinelli
2294,Charlie Bell
76142,Dennis Bell
1628395,Jordan Bell
1952,Raja Bell
2559,Troy Bell
76143,William Bell
76144,Walt Bellamy
1627761,DeAndre' Bembry
76145,Irv Bemoras
76146,Leon Benbow
1627733,Dragan Bender
1886,Jonathan Bender
203968,Jerrelle Benimon
104,Benoit Benjamin
1736,Corey Benjamin
203461,Anthony Bennett
1120,Elmer Bennett
712,Mario Bennett
76151,Mel Bennett
76148,Tony Bennett
76152,Winston Bennett
128,David Benoit
202728,Keith Benson
76154,Kent Benson
1627791,Ben Bentil
76155,Gene Berce
76156,Gary Bergen
1631262,Jules Bernard
76157,Ricky Berry
76158,Walter Berry
1629541,Dairis Bertans
202722,Dāvis Bertāns
76159,Del Beshore
696,Travis Best
201976,Patrick Beverley
1630180,Saddiq Bey
1630189,Tyler Bey
204021,Sim Bhullar
76160,Al Bianchi
76161,Hank Biasatti
76162,Henry Bibby
1710,Mike Bibby
76163,Ed Biedenbach
2740,Andris Biedrins
76164,Don Bielke
76165,Bob Bigelow
1497,Chauncey Billups
76166,Dave Bing
76167,Joe Binion
203920,Khem Birch
1628444,Jabari Bird
76168,Jerry Bird
1449,Larry Bird
76170,Otis Birdsong
76171,Gale Bishop
1629048,Goga Bitadze
1641931,Onuralp Bitim
202687,Bismack Biyombo
202357,Nemanja Bjelica
76172,Uwe Blab
1641710,Anthony Black
76173,Charlie Black
1641778,Leaky Black
76174,Norman Black
204028,Tarik Black
76175,Tom Black
76176,Rolando Blackman
76180,Alex Blackwell
76177,Cory Blackwell
1806,James Blackwell
76179,Nate Blackwell
201971,DeJuan Blair
2581,Steve Blake
202392,Marqus Blakely
1628469,Antonio Blakeney
200807,Will Blalock
76182,George Blaney
76183,Lance Blanks
76184,Ricky Blanton
101154,Andray Blatche
302,Mookie Blaylock
202339,Eric Bledsoe
1629833,Keljin Blevins
76186,Leon Blevins
76187,John Block
76188,Mike Bloom
1628417,Jaron Blossomgame
916,Corie Blount
1548,Mark Blount
203505,Vander Blue
1629129,Trevon Bluiett
76189,Ray Blume
76190,Nelson Bobb
2800,Tony Bobbitt
76191,Arlen Bockhorn
1631205,Buddy Boeheim
76192,Tom Boerwinkle
2586,Keith Bogans
203992,Bogdan Bogdanovic
202711,Bojan Bogdanovic
177,Muggsy Bogues
101106,Andrew Bogut
1564,Etdrick Bohannon
1629626,Bol Bol
76195,Manute Bol
1628413,Jonah Bolden
1629716,Marques Bolden
76196,Bill Bolger
1630195,Leandro Bolmaro
1627762,Joel Bolomboy
76197,Doug Bolstorff
76203,George H. Bon Salle
1641737,Adem Bona
76198,Phil Bond
1603,Walter Bond
1629648,Jordan Bone
1121,Dexter Boney
1629067,Isaac Bonga
76201,Ron Bonham
41,Anthony Bonner
2588,Matt Bonner
1626164,Devin Booker
511,Melvin Booker
202344,Trevor Booker
200767,Josh Boone
76204,Ron Boone
1916,Calvin Booth
1522,Keith Booth
76206,Bob Boozer
2430,Carlos Boozer
2414,Curtis Borchardt
76207,Jake Bornheimer
1953,Lazaro Borrell
76209,Costic Borsavage
76210,Vince Boryla
2547,Chris Bosh
76211,Jim Bostic
76212,Lawrence Boston
1630527,Brandon Boston Jr.
76213,Tom Boswell
1628449,Chris Boucher
1630547,James Bouknight
2257,Ruben Boumtje-Boumtje
1631123,Jamaree Bouyea
76214,Don Boven
1898,Cal Bowdler
1477,Bruce Bowen
1763,Ryan Bowen
1628968,Brian Bowen II
194,Anthony Bowie
76217,Sam Bowie
1085,Ira Bowman
1629065,Ky Bowman
76219,Nate Bowman
671,Donnie Boyce
76221,Dennis Boyd
76222,Fred Boyd
76223,Ken Boyd
1863,Earl Boykins
76224,Harry Boykoff
76225,Winford Boynes
200841,Cedric Bozeman
76226,Steve Bracey
202342,Craig Brackins
76227,Gary Bradds
76228,Alex Bradley
76229,Alonzo Bradley
202340,Avery Bradley
76233,Bill Bradley
76230,Charles Bradley
76231,Dudley Bradley
76232,Joe Bradley
2214,Michael Bradley
762,Shawn Bradley
1628396,Tony Bradley
1361,Mark Bradtke
66,Marques Bragg
1765,Torraye Braggs
1920,A.J. Bramlett
76237,Adrian Branch
1882,Elton Brand
210,Terrell Brandon
1631103,Malaki Branham
76238,Bob Brannum
76239,Brad Branson
76240,Jesse Branson
1629714,Jarrell Brantley
76241,Jim Brasco
76242,Mike Bratz
76243,Carl Braun
1631128,Christian Braun
1629649,Ignas Brazdeikis
160,Tim Breaux
2452,J.R. Bremer
76245,Pete Brennan
76246,Tom Brennan
76247,Randy Breuer
201147,Corey Brewer
2249,Jamison Brewer
76248,Jim Brewer
76249,Ron Brewer
200758,Ronnie Brewer
2056,Primoz Brezec
76250,Frank Brian
783,Frank Brickowski
76252,Junior Bridgeman
76253,Bill Bridges
1641779,Jalen Bridges
1628969,Mikal Bridges
1628970,Miles Bridges
76254,Al Brightman
1628578,Amida Brimah
76255,Audley Brindley
1628515,Isaiah Briscoe
76256,John Brisker
1629052,Oshae Brissett
76257,Allan Bristow
76258,Tyrone Britt
76259,Wayman Britt
76260,Mike Brittain
76261,David Britton
1631167,Izaiah Brockington
201972,Jon Brockman
1629151,Ryan Broekhoff
76262,Jim Brogan
1627763,Malcolm Brogdon
76263,Gary Brokaw
76264,Price Brookfield
201166,Aaron Brooks
1629717,Armoni Brooks
1628415,Dillon Brooks
76265,Kevin Brooks
202705,MarShon Brooks
76266,Michael Brooks
418,Scott Brooks
2810,Andre Brown
1626148,Anthony Brown
76284,Bob Brown
201628,Bobby Brown
