Group,APM,Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum,season,player_1_pass_out,player_2_pass_out,player_3_pass_out,player_4_pass_out,player_5_pass_out,std_pass_out
-2772-101162-202322-202344-203078-,7.718895980496929,2786,2014,Washington Wizards,690.9333333333333,50,42.6,92.0,0.462,8.5,20.5,0.416,10.7,15.5,0.69,12.2,32.8,44.9,25.3,13.5,8.3,4.9,17.4,104.3,1.3,Trevor Ariza,Marcin Gortat,John Wall,Trevor Booker,Bradley Beal,1.026206613651872,2.7735338157330105,0.452179919574435,-1.6496463578820393,0.4336799773710937,3.035953968448372,2013-14,26.789473684210524,36.475,49.59259259259259,21.88732394366197,22.40277777777778,11.719851587515697
-2772-101110-101162-202322-202344-,6.563853996673885,847,2014,Washington Wizards,201.63333333333333,45,43.6,87.4,0.499,10.8,25.9,0.419,13.8,18.0,0.767,10.3,31.3,41.6,25.9,15.0,7.6,4.2,20.2,111.8,6.7,Trevor Ariza,Martell Webster,Marcin Gortat,John Wall,Trevor Booker,1.026206613651872,-0.754344642113892,2.7735338157330105,0.452179919574435,-1.6496463578820393,1.8479293489633863,2013-14,24.578947368421055,12.181818181818182,32.7125,41.172839506172835,19.999999999999996,11.226650924511535
-2570-200757-201142-201566-201586-,9.422134259873753,2001,2014,Oklahoma City Thunder,349.3066666666667,24,39.3,86.3,0.455,3.9,13.8,0.286,16.3,21.0,0.779,11.5,35.2,46.8,23.5,16.1,9.0,8.0,19.6,98.9,-3.9,Kendrick Perkins,Thabo Sefolosha,Kevin Durant,Russell Westbrook,Serge Ibaka,-1.1211750478121774,-0.8680796443880232,2.501268855107143,2.066423814858525,2.6668866958645188,5.245324673629986,2013-14,14.741935483870966,13.245901639344261,21.49382716049383,36.95652173913044,19.567901234567902,9.433879487127626
-2216-2419-201144-201188-201584-,12.490467862421562,2444,2014,Memphis Grizzlies,592.075,35,44.5,91.8,0.485,4.8,12.6,0.384,13.7,18.2,0.75,10.5,35.8,46.3,24.5,12.0,7.8,4.6,15.5,107.6,8.6,Zach Randolph,Tayshaun Prince,Mike Conley,Marc Gasol,Courtney Lee,1.5418634722543314,0.2019503082639867,1.0052434278991922,-0.4450503072280238,0.6707307173409787,2.9747376185304653,2013-14,24.151898734177216,21.776315789473685,42.16438356164383,34.83050847457627,14.139240506329115,11.081769138956341
-2594-200794-201952-201960-203544-,12.300479461606908,1553,2014,Atlanta Hawks,297.9316666666667,24,36.7,86.1,0.426,14.0,36.5,0.384,17.4,21.0,0.831,10.2,32.7,42.8,26.6,13.7,8.6,4.2,21.7,104.9,5.4,Kyle Korver,Paul Millsap,Jeff Teague,DeMarre Carroll,Pero Antic,1.184278939099726,0.4838611356024352,0.2027261758475655,1.3584253748574149,1.9057993752718885,5.13509100067903,2013-14,20.057142857142857,29.657534246575345,34.69230769230769,22.01369863013699,16.104166666666668,7.531498249826854
-2399-2430-2550-201149-202710-,9.038641334551304,2837,2014,Chicago Bulls,681.3783333333333,42,39.6,91.0,0.435,5.4,16.5,0.329,15.9,19.8,0.801,11.9,34.9,46.8,28.3,14.7,9.1,5.1,19.4,100.4,6.0,Mike Dunleavy,Carlos Boozer,Kirk Hinrich,Joakim Noah,Jimmy Butler,0.8579580151845921,-1.7459681053492382,0.4600463706405331,1.4155462654500777,1.4829837807737052,2.47056632669967,2013-14,18.28048780487805,18.61842105263158,38.10958904109589,36.775,21.83582089552239,9.893708126109255
-2399-201149-201571-201959-202710-,12.25056610252681,828,2014,Chicago Bulls,211.625,36,38.5,82.6,0.466,7.3,20.7,0.354,25.4,30.7,0.828,13.6,35.5,49.1,25.4,15.1,7.1,6.3,18.4,109.8,10.6,Mike Dunleavy,Joakim Noah,D.J. Augustin,Taj Gibson,Jimmy Butler,0.8579580151845921,1.4155462654500777,-0.4956206022912011,1.5383297259113071,1.4829837807737052,4.799197185028481,2013-14,16.609756097560975,33.262499999999996,36.08571428571429,16.96341463414634,21.701492537313435,9.178733188370996
-2550-201149-201571-201959-202710-,9.784608243138749,938,2014,Chicago Bulls,226.63833333333332,35,35.6,81.6,0.437,10.5,26.3,0.4,25.8,34.4,0.75,12.0,35.2,47.1,24.6,13.2,8.1,4.5,19.6,107.7,13.4,Kirk Hinrich,Joakim Noah,D.J. Augustin,Taj Gibson,Jimmy Butler,0.4600463706405331,1.4155462654500777,-0.4956206022912011,1.5383297259113071,1.4829837807737052,4.401285540484422,2013-14,27.027397260273972,47.5,31.5,20.585365853658537,24.11940298507463,10.493401628765662
-201152-202341-203138-203156-203487-,-0.0678168149217144,1227,2014,Philadelphia 76ers,309.82166666666666,22,38.8,90.5,0.429,9.5,26.1,0.366,14.4,18.9,0.761,11.0,30.3,41.3,23.9,14.4,7.9,1.9,19.7,101.6,-9.7,Thaddeus Young,James Anderson,Hollis Thompson,Henry Sims,Michael Carter-Williams,-1.1598302206611608,-1.7392138477509609,-0.8592872126945407,-0.4260652520614006,0.9301606101905998,-3.2542359229774633,2013-14,27.253164556962027,10.825000000000001,8.129870129870131,13.227272727272727,32.142857142857146,10.686701503279414
-200746-201577-201587-202083-203081-,10.702318697075452,6284,2014,Portland Trail Blazers,1373.2466666666667,69,40.6,88.3,0.459,9.0,23.7,0.38,21.0,24.7,0.848,12.7,36.6,49.3,24.7,13.2,5.5,5.0,15.3,111.1,7.6,LaMarcus Aldridge,Robin Lopez,Nicolas Batum,Wesley Matthews,Damian Lillard,2.4819200968142,0.5979811987991284,0.5786121607259163,0.6775477696723784,1.4028609874225677,5.73892221343419,2013-14,33.072463768115945,18.439024390243905,42.13414634146341,23.414634146341463,47.146341463414636,12.117468928547266
-101112-200782-201609-202339-203101-,11.525158537075718,1696,2014,Phoenix Suns,435.84,35,41.7,89.8,0.465,9.0,26.5,0.341,14.2,18.2,0.783,11.7,36.1,47.7,20.2,15.1,9.6,4.7,20.7,106.7,13.4,Channing Frye,P.J. Tucker,Goran Dragic,Eric Bledsoe,Miles Plumlee,2.3499101842287184,-0.1380381280239576,2.657020396393853,0.9122467925065778,-0.9073444967194296,4.8737947483857615,2013-14,26.5,19.22222222222222,30.447368421052634,30.813953488372093,22.5375,5.027040187102107
-101161-200768-201942-202685-203082-,8.331326623627614,3036,2014,Toronto Raptors,717.1833333333333,56,40.4,85.9,0.47,9.1,22.7,0.4,17.9,22.7,0.79,10.4,33.1,43.5,25.8,15.4,6.3,5.1,21.6,107.7,2.9,Amir Johnson,Kyle Lowry,DeMar DeRozan,Jonas Valanciunas,Terrence Ross,0.8057851652151409,2.090052839075219,0.7299580217434744,-0.549724994092989,-0.3024198172669188,2.7736512146739267,2013-14,28.13157894736842,46.1025641025641,22.98717948717949,24.5875,12.399999999999999,12.259140656763577
-2199-2405-2546-2747-101109-,6.588936878516691,1051,2014,New York Knicks,286.13,25,43.6,91.2,0.477,11.4,26.0,0.439,13.8,17.0,0.813,10.7,33.5,44.1,25.0,12.7,6.7,4.3,20.4,112.3,1.9,Tyson Chandler,Amar'e Stoudemire,Carmelo Anthony,JR Smith,Raymond Felton,0.5889101300200917,-1.9753924653514976,1.367061848304545,0.7977089748338183,-0.1865248468249007,0.5917636409820568,2013-14,19.98181818181818,8.953846153846154,24.025974025974026,19.7027027027027,39.09230769230769,10.899393938799061
-2403-2772-101162-202322-203078-,10.790679494487392,2709,2014,Washington Wizards,487.09166666666664,39,42.0,85.4,0.492,7.9,17.9,0.441,13.9,19.9,0.698,9.6,33.6,43.2,26.5,15.5,9.8,5.1,15.6,105.9,10.3,Nene,Trevor Ariza,Marcin Gortat,John Wall,Bradley Beal,0.0245691578639864,1.026206613651872,2.7735338157330105,0.452179919574435,0.4336799773710937,4.710169484194398,2013-14,24.320754716981135,26.69736842105263,36.45,53.33333333333333,25.319444444444443,12.238658605179696
-2403-2772-101110-101162-202322-,9.732250999044224,997,2014,Washington Wizards,265.23,40,37.1,78.8,0.471,8.9,19.7,0.45,20.8,29.3,0.71,8.5,34.1,42.6,22.8,13.9,10.1,4.3,16.5,104.0,10.0,Nene,Trevor Ariza,Martell Webster,Marcin Gortat,John Wall,0.0245691578639864,1.026206613651872,-0.754344642113892,2.7735338157330105,0.452179919574435,3.522144864709412,2013-14,21.81132075471698,24.486842105263158,13.532467532467534,32.6875,44.91358024691358,11.90245936628483
-2738-101106-101135-201939-202691-,16.412212708328155,3311,2014,Golden State Warriors,819.2983333333333,44,44.8,89.7,0.5,10.4,24.2,0.43,12.4,16.5,0.748,11.9,34.9,46.8,28.2,15.0,8.3,5.2,19.5,112.4,15.1,Andre Iguodala,Andrew Bogut,David Lee,Stephen Curry,Klay Thompson,3.0289152475809256,0.1497247085172101,1.8725559236613296,2.295928808583452,1.4820908734859957,8.829215561828914,2013-14,25.68253968253968,28.34848484848485,27.970588235294116,39.311688311688314,13.4,9.233328008185286
