Group,APM,Group_Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum
-2399-2430-2550-201149-202710-,9.038641335,2837,2014,Chicago Bulls,681.3783333,42,39.6,91,0.435,5.4,16.5,0.329,15.9,19.8,0.801,11.9,34.9,46.8,28.3,14.7,9.1,5.1,19.4,100.4,6,Mike Dunleavy,Carlos Boozer,Kirk Hinrich,Joakim Noah,Jimmy Butler,0.857958015,-1.745968105,0.460046371,1.415546265,1.482983781,2.470566327
-2399-201149-201571-201959-202710-,12.2505661,828,2014,Chicago Bulls,211.625,36,38.5,82.6,0.466,7.3,20.7,0.354,25.4,30.7,0.828,13.6,35.5,49.1,25.4,15.1,7.1,6.3,18.4,109.8,10.6,Mike Dunleavy,Joakim Noah,D.J. Augustin,Taj Gibson,Jimmy Butler,0.857958015,1.415546265,-0.495620602,1.538329726,1.482983781,4.799197185
-2550-201149-201571-201959-202710-,9.784608243,938,2014,Chicago Bulls,226.6383333,35,35.6,81.6,0.437,10.5,26.3,0.4,25.8,34.4,0.75,12,35.2,47.1,24.6,13.2,8.1,4.5,19.6,107.7,13.4,Kirk Hinrich,Joakim Noah,D.J. Augustin,Taj Gibson,Jimmy Butler,0.460046371,1.415546265,-0.495620602,1.538329726,1.482983781,4.40128554
-201152-202341-203138-203156-203487-,-0.067816815,1227,2014,Philadelphia 76ers,309.8216667,22,38.8,90.5,0.429,9.5,26.1,0.366,14.4,18.9,0.761,11,30.3,41.3,23.9,14.4,7.9,1.9,19.7,101.6,-9.7,Thaddeus Young,James Anderson,Hollis Thompson,Henry Sims,Michael Carter-Williams,-1.159830221,-1.739213848,-0.859287213,-0.426065252,0.93016061,-3.254235923
-200746-201577-201587-202083-203081-,10.7023187,6284,2014,Portland Trail Blazers,1373.246667,69,40.6,88.3,0.459,9,23.7,0.38,21,24.7,0.848,12.7,36.6,49.3,24.7,13.2,5.5,5,15.3,111.1,7.6,LaMarcus Aldridge,Robin Lopez,Nicolas Batum,Wesley Matthews,Damian Lillard,2.481920097,0.597981199,0.578612161,0.67754777,1.402860987,5.738922213
-101112-200782-201609-202339-203101-,11.52515854,1696,2014,Phoenix Suns,435.84,35,41.7,89.8,0.465,9,26.5,0.341,14.2,18.2,0.783,11.7,36.1,47.7,20.2,15.1,9.6,4.7,20.7,106.7,13.4,Channing Frye,P.J. Tucker,Goran Dragic,Eric Bledsoe,Miles Plumlee,2.349910184,-0.138038128,2.657020396,0.912246793,-0.907344497,4.873794748
-101161-200768-201942-202685-203082-,8.331326624,3036,2014,Toronto Raptors,717.1833333,56,40.4,85.9,0.47,9.1,22.7,0.4,17.9,22.7,0.79,10.4,33.1,43.5,25.8,15.4,6.3,5.1,21.6,107.7,2.9,Amir Johnson,Kyle Lowry,DeMar DeRozan,Jonas Valanciunas,Terrence Ross,0.805785165,2.090052839,0.729958022,-0.549724994,-0.302419817,2.773651215
-2199-2405-2546-2747-101109-,6.588936879,1051,2014,New York Knicks,286.13,25,43.6,91.2,0.477,11.4,26,0.439,13.8,17,0.813,10.7,33.5,44.1,25,12.7,6.7,4.3,20.4,112.3,1.9,Tyson Chandler,Amar'e Stoudemire,Carmelo Anthony,JR Smith,Raymond Felton,0.58891013,-1.975392465,1.367061848,0.797708975,-0.186524847,0.591763641
-2403-2772-101162-202322-203078-,10.79067949,2709,2014,Washington Wizards,487.0916667,39,42,85.4,0.492,7.9,17.9,0.441,13.9,19.9,0.698,9.6,33.6,43.2,26.5,15.5,9.8,5.1,15.6,105.9,10.3,Nene,Trevor Ariza,Marcin Gortat,John Wall,Bradley Beal,0.024569158,1.026206614,2.773533816,0.45217992,0.433679977,4.710169484
-2403-2772-101110-101162-202322-,9.732250999,997,2014,Washington Wizards,265.23,40,37.1,78.8,0.471,8.9,19.7,0.45,20.8,29.3,0.71,8.5,34.1,42.6,22.8,13.9,10.1,4.3,16.5,104,10,Nene,Trevor Ariza,Martell Webster,Marcin Gortat,John Wall,0.024569158,1.026206614,-0.754344642,2.773533816,0.45217992,3.522144865
-2738-101106-101135-201939-202691-,16.41221271,3311,2014,Golden State Warriors,819.2983333,44,44.8,89.7,0.5,10.4,24.2,0.43,12.4,16.5,0.748,11.9,34.9,46.8,28.2,15,8.3,5.2,19.5,112.4,15.1,Andre Iguodala,Andrew Bogut,David Lee,Stephen Curry,Klay Thompson,3.028915248,0.149724709,1.872555924,2.295928809,1.482090873,8.829215562
-2210-101107-202324-202330-203504-,4.496288661,2279,2014,Utah Jazz,602.6183333,47,40.3,87.4,0.461,10.5,26.8,0.393,15.4,19,0.811,9.6,34.5,44.1,26.2,13.4,7.1,5.5,20.9,106.6,-0.5,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,-1.181550251,0.282624228,-0.468931867,0.074198327,0.605191078,-0.688468485
-200752-201574-202326-202738-203463-,4.21224296,1273,2014,Sacramento Kings,316.74,27,41.1,82.4,0.499,5.6,14.6,0.383,16.2,22.4,0.722,8.9,31.6,40.5,22.6,18.1,8.3,5,22.7,104,-5.6,Rudy Gay,Jason Thompson,DeMarcus Cousins,Isaiah Thomas,Ben McLemore,-0.089014415,1.068878925,0.775166866,2.241358208,-1.670440788,2.325948796
-2037-101108-201162-201599-201933-,10.79919286,1112,2014,LA Clippers,273.465,36,40.3,83.6,0.482,7.9,22.9,0.346,18.1,25.2,0.72,10.4,34.2,44.5,28.7,15.5,8.3,5.1,18.7,106.7,7.7,Jamal Crawford,Chris Paul,Jared Dudley,DeAndre Jordan,Blake Griffin,0.089979778,3.684005674,0.513866198,0.685824123,1.626888786,6.60056456
-1717-1890-2223-101145-101181-,8.222262442,3592,2014,Dallas Mavericks,844.8716667,69,41.8,86.1,0.486,9.2,21.8,0.423,14.4,17,0.846,10.5,31.1,41.6,25.8,15.9,8.5,4.6,17.1,107.3,-0.2,Dirk Nowitzki,Shawn Marion,Samuel Dalembert,Monta Ellis,Jose Calderon,1.75854229,-0.378562143,0.637098335,-0.083181697,0.118249503,2.052146287
-1713-1890-2223-101145-101181-,7.519664888,1059,2014,Dallas Mavericks,257.9466667,66,37.1,83.4,0.445,9,25,0.361,11.7,15.3,0.765,10.4,34.3,44.6,21.7,13.6,7.3,3.6,21.8,94.9,-4.1,Vince Carter,Shawn Marion,Samuel Dalembert,Monta Ellis,Jose Calderon,1.158316275,-0.378562143,0.637098335,-0.083181697,0.118249503,1.451920271
-101138-201145-202340-202348-203096-,3.215386245,1475,2014,Boston Celtics,372.7983333,28,36,85.5,0.421,6.9,21.5,0.321,15.7,19.7,0.797,9.8,36.3,46.1,17.5,15.4,4.2,4.4,16.9,94.6,-4.6,Brandon Bass,Jeff Green,Avery Bradley,Jordan Crawford,Jared Sullinger,-1.523493535,-0.990209763,1.343451297,-0.635067324,1.138407305,-0.666912021
-2746-201943-202328-203083-203484-,2.533149569,2011,2014,Detroit Pistons,496.0733333,39,39.7,91,0.436,5.5,17,0.326,13.8,21.8,0.633,16,33.9,49.9,22.7,15.2,9.2,4.8,17.4,98.8,-4.7,Josh Smith,Brandon Jennings,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,-0.085303972,0.042236053,0.707488194,-0.431301921,0.562826201,0.795944555
-2746-201155-201943-202328-202713-,5.114542336,974,2014,Detroit Pistons,248.5516667,56,34.2,83.5,0.41,5.1,15.8,0.321,21.1,30.3,0.696,10.9,31.2,42.1,18.2,12.6,7.1,5.3,20.1,94.5,-7.9,Josh Smith,Rodney Stuckey,Brandon Jennings,Greg Monroe,Kyle Singler,-0.085303972,-0.468941548,0.042236053,0.707488194,-0.642922733,-0.447444005
-101161-200752-200768-201942-202685-,0.224232641,907,2014,Toronto Raptors,243.5533333,18,39,88.9,0.439,6.3,17.6,0.358,14.3,16.5,0.868,14.8,28.6,43.4,20.8,18.2,8.7,4.1,22.6,98.7,-9.3,Amir Johnson,Rudy Gay,Kyle Lowry,DeMar DeRozan,Jonas Valanciunas,0.805785165,-0.089014415,2.090052839,0.729958022,-0.549724994,2.987056617
